,Flux
891,0.0
892,0.0
893,0.0
894,0.0
895,0.03839242351659755
896,0.11040645263172687
897,0.17445233354020473
898,0.22616458931548936
899,0.2620176545560574
900,0.2795663302437709
901,0.2776126336003308
902,0.2562876399397993
903,0.21704271315298346
904,0.1625507184989334
905,0.09652394326274857
906,0.023461153311210656
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.03852265543109017
920,0.11065011215134257
921,0.17480159566123957
922,0.22660436641126291
923,0.2625266426514983
924,0.28011848281655677
925,0.27817896095845374
926,0.25683820981079325
927,0.21754871432391637
928,0.16298644513591282
929,0.09686856315508204
930,0.023700138370231383
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.038670519998997385
944,0.11090946628230175
945,0.17516367035496672
946,0.22705332768436873
947,0.26304068931700986
948,0.28067135468758836
949,0.27874175312091104
950,0.2573813675684402
951,0.21804407102493048
952,0.16340916227999738
953,0.09719883906178972
954,0.02392456783410279
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.03883592132797655
968,0.11118428598577003
969,0.17553820800611977
970,0.22751102375455312
971,0.2635592730468318
972,0.28122438478735484
973,0.27930044470623094
974,0.2579165790344016
975,0.2185283136268619
976,0.1638184937394618
977,0.09751451067861215
978,0.024134311761700347
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.03901875099185586
992,0.11147433204164332
993,0.17592485193637275
994,0.22797700190512718
995,0.26408187310357706
996,0.28177701704071983
997,0.27985447938930086
998,0.2584433227133142
999,0.2190009881066293
1000,0.1642140809225471
1001,0.09781533619175231
1002,0.02432925838772757
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.03921887917701181
1016,0.11177934687369319
1017,0.1763232314473176
1018,0.22845080078139898
1019,0.2646079662075453
1020,0.2823286992451174
1021,0.28040331102975136
1022,0.2589610930636468
1023,0.21946166122210972
1024,0.16459558954939138
1025,0.09810110006818083
1026,0.024509322444732497
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.039436146511823394
1040,0.1120990468777286
1041,0.17673295513036136
1042,0.2289319450893598
1043,0.2651370229292239
1044,0.282878881343282
1045,0.2809464038743889
1046,0.2594694025604898
1047,0.21990992422897881
1048,0.16496271470992233
1049,0.09837161903666689
1050,0.024674451634892874
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.03967035805888437
1064,0.11243311684739277
1065,0.1771536060671999
1066,0.22941994186684556
1067,0.26566850523343155
1068,0.28342701434569234
1069,0.28148323286309
1070,0.25996778328796155
1071,0.22034539558037583
1072,0.1653151844196596
1073,0.0986267462174227
1074,0.024824630981462925
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.03992128003693633
1088,0.11278120718156315
1089,0.17758473972832237
1090,0.22991427917930451
1091,0.26620186603295226
1092,0.2839725507340129
1093,0.282013284814082
1094,0.2604557887765152
1095,0.22076772324244298
1096,0.16565276220866193
1097,0.09886637375778771
1098,0.024959885311041513
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.0
1108,0.0
1109,0.0
1110,0.0
1111,0.04018863911534269
1112,0.1131429337227842
1113,0.1780258843639558
1114,0.23041442706328186
1115,0.2667365506166729
1116,0.2845149462673984
1117,0.2825360604606278
1118,0.26093299611809334
1119,0.2211765867242926
1120,0.16597524891550142
1121,0.09909043426130064
1122,0.02508028022280469
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,0.0
1135,0.04047212366895844
1136,0.11351787949968274
1137,0.17847654314263464
1138,0.2309198399146441
1139,0.2672719991279637
1140,0.28505366237939034
1141,0.28305107660948264
1142,0.2613990077283331
1143,0.22157169833114645
1144,0.16628248335443863
1145,0.09929890085160509
1146,0.025185921561397134
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0407713864568229
1160,0.11390559768781564
1161,0.178936197199807
1162,0.23142995941317912
1163,0.26780764916365907
1164,0.28558816826976824
1165,0.283557867574615
1166,0.26185345203350463
1167,0.221952803058192
1168,0.16657434143589714
1169,0.09949178557736123
1170,0.025276953262259396
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.04108604835962814
1184,0.11430561534888585
1185,0.17940430909906474
1186,0.23194421748294555
1187,0.2683429380115315
1188,0.28611794225094656
1189,0.28405598552960915
1190,0.262295982791916
1191,0.22231967692643603
1192,0.1668507336330848
1193,0.09966913621400489
1194,0.025353553704129766
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,0.0
1207,0.04141570281763477
1208,0.11471743763498601
1209,0.179880326533633
1210,0.23246203918087086
1211,0.26887730452011344
1212,0.2866424724639977
1213,0.28454500000804384
1214,0.26272627740212945
1215,0.22267212420695895
1216,0.1671116013079026
1217,0.09983103193095298
1218,0.025415931025217903
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.04175992059328302
1232,0.1151405521934522
1233,0.18036368603796982
1234,0.2329828454903628
1235,0.2694101907781487
1236,0.28716125730950615
1237,0.2850244970519322
1238,0.2631440348288949
1239,0.22300997426159788
1240,0.1673569126800327
1241,0.09997757866221432
1242,0.025464318208981408
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.04211825427962027
1256,0.11557443330186234
1257,0.18085381647805943
1258,0.23350605591582344
1259,0.2699410436344464
1260,0.28767380580988416
1261,0.28549407839993
1262,0.2635489736713554
1263,0.22333307863430782
1264,0.1675866591463113
1265,0.10010890491913403
1266,0.025498968666214095
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,0.04249024202928743
1280,0.11601854527343995
1281,0.18135014190331802
1282,0.23403109059530114
1283,0.2704693159436001
1284,0.2881796379117951
1285,0.28595336084290024
1286,0.2639408306425477
1287,0.2236413087704702
1288,0.16780085240756384
1289,0.10022515850673226
1290,0.025520152786751266
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0428754101722266
1304,0.11647234482699625
1305,0.18185208350261248
1306,0.23455737172915656
1307,0.2709944673845221
1308,0.2886782846559811
1309,0.28640197575245524
1310,0.26431935950258106
1311,0.2239345544458087
1312,0.16799952251355618
1313,0.10032650434832929
1314,0.025528155674697198
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,0.043273274650435095
1328,0.1169352823683655
1329,0.1823590606656663
1330,0.2350843243353407
1331,0.27151596486558094
1332,0.28916928822381405
1333,0.28683956878083905
1334,0.26468433044598694
1335,0.22421272289435012
1336,0.16818271679882565
1337,0.10041312329411671
1338,0.025523275918885334
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.04368334159205389
1352,0.11740680250168832
1353,0.1828704913786253
1354,0.23561137652688027
1355,0.27203328267518784
1356,0.2896522019483914
1357,0.2872657997337415
1358,0.26503552985389084
1359,0.22447573845722268
1360,0.16835049945200237
1361,0.10048521163703464
1362,0.025505825082593775
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,0.0
1374,0.0
1375,0.044105107480884816
1376,0.11788634420477993
1377,0.1833857923984752
1378,0.23613795965815448
1379,0.27254590258144284
1380,0.2901265903596918
1381,0.28768034255617814
1382,0.2653727602040203
1383,0.22472354241803416
1384,0.16850295127819193
1385,0.10054298082032448
1386,0.02547612735698062
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,0.0
1399,0.044538059497144615
1400,0.11837334119253441
1401,0.18390437960412317
1402,0.23666350862662033
1403,0.2730533140494218
1404,0.29059202928386124
1405,0.28808288528441484
1406,0.26569583986835754
1407,0.22495609263651256
1408,0.1686401691753088
1409,0.1005866567531379
1410,0.025434518768342358
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,0.04498167653059127
1424,0.11886722291598598
1425,0.18442566888758224
1426,0.2371874625856344
1427,0.2735550147025782
1428,0.2910481059927581
1429,0.28847312984438067
1430,0.2660046025405019
1431,0.2251733626169298
1432,0.16876226488113233
1433,0.10061647832214932
1434,0.02538134551919593
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,0.0
1447,0.04543543113290859
1448,0.11936741643361123
1449,0.18494907781546466
1450,0.23770926623546781
1451,0.2740505111222472
1452,0.291494419431795
1453,0.2888507916601178
1454,0.266298896214397
1455,0.2253753398962246
1456,0.16886936285128626
1457,0.10063269486810085
1458,0.025316961225584404
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,0.0
1471,0.04589879251514032
1472,0.1198733492489191
1473,0.1854740280741454
1474,0.23822837170646374
1475,0.2745393200193938
1476,0.29193058055493215
1477,0.2892155990940535
1478,0.2665785817451582
1479,0.2255620237881604
1480,0.1689615973130278
1481,0.10063556272532818
1482,0.02524172315827985
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.0
1494,0.0
1495,0.04637123037900163
1496,0.12038445291353515
1497,0.1859999485890106
1498,0.23874424094765245
1499,0.275020969696395
1500,0.2923562127473953
1501,0.2895672927762026
1502,0.26684353109067527
1503,0.22573342263720833
1504,0.1690391086946412
1505,0.10062534106111727
1506,0.02515598774796514
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.04685221922455633
1520,0.12090016706320911
1521,0.1865262789924754
1522,0.23925634837584253
1523,0.27549500168306434
1524,0.29277095231236544
1525,0.2899056248905807
1526,0.26709362544027176
1527,0.22588955089487378
1528,0.16910203983615107
1529,0.10060228743902427
1530,0.025060105808126804
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0473412426330354
1544,0.12141994341985905
1545,0.187052473077018
1546,0.23976418353861212
1547,0.2759609724255615
1548,0.29317444906969914
1549,0.2902303586431177
1550,0.2673287535835041
1551,0.2260304265083245
1552,0.1691505325616983
1553,0.10056665383304414
1554,0.024954418234594575
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.04783779686306924
1568,0.12194324922862809
1569,0.18757800182468393
1570,0.2402672535468118
1571,0.276418454973503
1572,0.2935663672157842
1573,0.29054126826357674
1574,0.26754881108175477
1575,0.226156069334644
1576,0.16918472548391109
1577,0.1005186839662914
